n, base, pi_base, p1, pi_1, p2, pi_2
10, 0.0000001000, 3.3045183262, 0.0000158568, 3.3045183262, 0.0000024795, 3.6000000000
100, 0.0000009296, 3.1604170318, 0.0000019996, 3.1604170318, 0.0000042094, 2.8800000000
1000, 0.0000096083, 3.1435554669, 0.0000144069, 3.1435554669, 0.0000273345, 3.0600000000
10000, 0.0000957505, 3.1417914776, 0.0000949609, 3.1417914776, 0.0002582777, 3.1576000000
100000, 0.0009813822, 3.1416126164, 0.0009009584, 3.1416126164, 0.0025769007, 3.1395600000
1000000, 0.0095440368, 3.1415946524, 0.0094418974, 3.1415946524, 0.0257617785, 3.1423160000
10000000, 0.0570657807, 3.1415928536, 0.0426620529, 3.1415928536, 0.1152039652, 3.1421232000
100000000, 0.4260848795, 3.1415926736, 0.4283925043, 3.1415926736, 1.1580335542, 3.1415352400
1000000000, 4.2942237603, 3.1415926556, 4.3078758790, 3.1415926556, 11.5445304094, 3.1415832360
