n, base, pi_base, p1, pi_1, p2, pi_2
10, 0.0000000898, 3.3045183262, 0.0009627840, 3.3045183262, 0.0000103179, 2.8000000000
100, 0.0000009198, 3.1604170318, 0.0000085982, 3.1604170318, 0.0000090679, 3.0800000000
1000, 0.0000096078, 3.1435554669, 0.0000091079, 3.1435554669, 0.0000106378, 3.1400000000
10000, 0.0000965905, 3.1417914776, 0.0000142971, 3.1417914776, 0.0000251349, 3.1180000000
100000, 0.0010178528, 3.1416126164, 0.0000627570, 3.1416126164, 0.0001687354, 3.1366000000
1000000, 0.0106891836, 3.1415946524, 0.0006612654, 3.1415946524, 0.0018205595, 3.1394880000
10000000, 0.0808083564, 3.1415928536, 0.0047675595, 3.1415928536, 0.0126171910, 3.1417696000
100000000, 0.4259901744, 3.1415926736, 0.0475163350, 3.1415926736, 0.0882222469, 3.1416340000
1000000000, 4.2577511402, 3.1415926556, 0.2677531828, 3.1415926556, 0.7247240289, 3.1415823720
