n, base, pi_base, p1, pi_1, p2, pi_2
10, 0.0000000800, 3.3045183262, 0.0000154769, 3.3045183262, 0.0000023697, 3.6000000000
100, 0.0000009300, 3.1604170318, 0.0000020196, 3.1604170318, 0.0000043991, 2.8800000000
1000, 0.0000095279, 3.1435554669, 0.0000142172, 3.1435554669, 0.0000273843, 3.0600000000
10000, 0.0000965807, 3.1417914776, 0.0000951810, 3.1417914776, 0.0002767647, 3.1576000000
100000, 0.0010494207, 3.1416126164, 0.0009008201, 3.1416126164, 0.0026288049, 3.1395600000
1000000, 0.0096513628, 3.1415946524, 0.0096225890, 3.1415946524, 0.0259068274, 3.1423160000
10000000, 0.0572110772, 3.1415928536, 0.0430215503, 3.1415928536, 0.1153552682, 3.1421232000
100000000, 0.4274519349, 3.1415926736, 0.4308304404, 3.1415926736, 1.1604784891, 3.1415352400
1000000000, 4.2747641304, 3.1415926556, 4.2824385185, 3.1415926556, 11.5564283035, 3.1415832360
