n, base, pi_base, p1, pi_1, p2, pi_2
10, 0.0000000902, 3.3045183262, 0.0008908249, 3.3045183262, 0.0000094082, 2.8000000000
100, 0.0000008998, 3.1604170318, 0.0000075286, 3.1604170318, 0.0000086083, 3.0800000000
1000, 0.0000095979, 3.1435554669, 0.0000071184, 3.1435554669, 0.0000098276, 3.1400000000
10000, 0.0000940994, 3.1417914776, 0.0000134970, 3.1417914776, 0.0000249745, 3.1180000000
100000, 0.0010232159, 3.1416126164, 0.0000742335, 3.1416126164, 0.0001958469, 3.1366000000
1000000, 0.0104440626, 3.1415946524, 0.0006380802, 3.1415946524, 0.0018122231, 3.1394880000
10000000, 0.0812423553, 3.1415928536, 0.0049040361, 3.1415928536, 0.0126063188, 3.1417696000
100000000, 0.4260538915, 3.1415926736, 0.0474155448, 3.1415926736, 0.0827556442, 3.1416340000
1000000000, 4.2753621167, 3.1415926556, 0.2679216868, 3.1415926556, 0.7245994206, 3.1415823720
