n, base, pi_base, p1, pi_1, p2, pi_2
10, 0.0000000800, 3.3045183262, 0.0000141375, 3.3045183262, 0.0000024796, 3.6000000000
100, 0.0000009096, 3.1604170318, 0.0000020094, 3.1604170318, 0.0000042792, 2.8800000000
1000, 0.0000093783, 3.1435554669, 0.0000140473, 3.1435554669, 0.0000273854, 3.0600000000
10000, 0.0000965830, 3.1417914776, 0.0000951934, 3.1417914776, 0.0002582944, 3.1576000000
100000, 0.0009581008, 3.1416126164, 0.0009645498, 3.1416126164, 0.0025744658, 3.1395600000
1000000, 0.0094553821, 3.1415946524, 0.0094430141, 3.1415946524, 0.0257410086, 3.1423160000
10000000, 0.0574420461, 3.1415928536, 0.0426469260, 3.1415928536, 0.1151839890, 3.1421232000
100000000, 0.4278083158, 3.1415926736, 0.4279231458, 3.1415926736, 1.1513942310, 3.1415352400
1000000000, 4.2736514526, 3.1415926556, 4.2856233503, 3.1415926556, 11.5206814516, 3.1415832360
