n, base, pi_base, p1, pi_1, p2, pi_2
10, 0.0000000800, 3.3045183262, 0.0000156168, 3.3045183262, 0.0000024795, 3.6000000000
100, 0.0000009198, 3.1604170318, 0.0000019898, 3.1604170318, 0.0000043293, 2.8800000000
1000, 0.0000096082, 3.1435554669, 0.0000142873, 3.1435554669, 0.0000273646, 3.0600000000
10000, 0.0000957603, 3.1417914776, 0.0000951706, 3.1417914776, 0.0002582667, 3.1576000000
100000, 0.0009580824, 3.1416126164, 0.0009383763, 3.1416126164, 0.0025747691, 3.1395600000
1000000, 0.0094589295, 3.1415946524, 0.0093475724, 3.1415946524, 0.0257225455, 3.1423160000
10000000, 0.0571184216, 3.1415928536, 0.0427189807, 3.1415928536, 0.1152434454, 3.1421232000
100000000, 0.4260956449, 3.1415926736, 0.4278362558, 3.1415926736, 1.1514774136, 3.1415352400
1000000000, 4.2778877159, 3.1415926556, 4.2866292733, 3.1415926556, 11.5613080602, 3.1415832360
