n, base, pi_base, p1, pi_1, p2, pi_2
10, 0.0000000902, 3.3045183262, 0.0000242152, 3.3045183262, 0.0000025995, 3.6000000000
100, 0.0000008998, 3.1604170318, 0.0000019898, 3.1604170318, 0.0000042992, 2.8800000000
1000, 0.0000096079, 3.1435554669, 0.0000144474, 3.1435554669, 0.0000273146, 3.0600000000
10000, 0.0000957612, 3.1417914776, 0.0000953710, 3.1417914776, 0.0002582795, 3.1576000000
100000, 0.0010373961, 3.1416126164, 0.0009314867, 3.1416126164, 0.0026117668, 3.1395600000
1000000, 0.0099665215, 3.1415946524, 0.0098288983, 3.1415946524, 0.0267234788, 3.1423160000
10000000, 0.0580324258, 3.1415928536, 0.0428769440, 3.1415928536, 0.1153229681, 3.1421232000
100000000, 0.4267155460, 3.1415926736, 0.4286688022, 3.1415926736, 1.1514982988, 3.1415352400
1000000000, 4.2819029326, 3.1415926556, 4.2889442786, 3.1415926556, 11.5394815740, 3.1415832360
