n, base, pi_base, p1, pi_1, p2, pi_2
10, 0.0000000702, 3.3045183262, 0.0008674676, 3.3045183262, 0.0000094087, 2.8000000000
100, 0.0000007599, 3.1604170318, 0.0000075791, 3.1604170318, 0.0000083688, 3.0800000000
1000, 0.0000079493, 3.1435554669, 0.0000076791, 3.1435554669, 0.0000107285, 3.1400000000
10000, 0.0000822605, 3.1417914776, 0.0000139486, 3.1417914776, 0.0000248869, 3.1180000000
100000, 0.0009664862, 3.1416126164, 0.0000633023, 3.1416126164, 0.0001678105, 3.1366000000
1000000, 0.0109633091, 3.1415946524, 0.0006843496, 3.1415946524, 0.0019097449, 3.1394880000
10000000, 0.0809764650, 3.1415928536, 0.0048167630, 3.1415928536, 0.0126132148, 3.1417696000
100000000, 0.4292204194, 3.1415926736, 0.0477107319, 3.1415926736, 0.0821091517, 3.1416340000
1000000000, 4.2801942080, 3.1415926556, 0.2681663235, 3.1415926556, 0.7247392021, 3.1415823720
