n, base, pi_base, p1, pi_1, p2, pi_2
10, 0.0000000902, 3.3045183262, 0.0008864263, 3.3045183262, 0.0000093195, 2.8000000000
100, 0.0000009297, 3.1604170318, 0.0000077396, 3.1604170318, 0.0000088396, 3.0800000000
1000, 0.0000094995, 3.1435554669, 0.0000085596, 3.1435554669, 0.0000103395, 3.1400000000
10000, 0.0000957651, 3.1417914776, 0.0000142593, 3.1417914776, 0.0000248188, 3.1180000000
100000, 0.0010479886, 3.1416126164, 0.0000763060, 3.1416126164, 0.0001873508, 3.1366000000
1000000, 0.0105765110, 3.1415946524, 0.0006743069, 3.1415946524, 0.0018622286, 3.1394880000
10000000, 0.0823450177, 3.1415928536, 0.0048344325, 3.1415928536, 0.0126150807, 3.1417696000
100000000, 0.4294698372, 3.1415926736, 0.0478158429, 3.1415926736, 0.0822915105, 3.1416340000
1000000000, 4.2604208448, 3.1415926556, 0.2686229332, 3.1415926556, 0.7254292285, 3.1415823720
