n, base, pi_base, p1, pi_1, p2, pi_2
10, 0.0000000902, 3.3045183262, 0.0004376168, 3.3045183262, 0.0000064794, 3.2000000000
100, 0.0000009199, 3.1604170318, 0.0000046693, 3.1604170318, 0.0000058896, 3.0800000000
1000, 0.0000095293, 3.1435554669, 0.0000060394, 3.1435554669, 0.0000111389, 3.1800000000
10000, 0.0000957705, 3.1417914776, 0.0000266072, 3.1417914776, 0.0000688532, 3.1248000000
100000, 0.0009581854, 3.1416126164, 0.0002287374, 3.1416126164, 0.0006467060, 3.1459600000
1000000, 0.0095825542, 3.1415946524, 0.0022527377, 3.1415946524, 0.0064615422, 3.1423000000
10000000, 0.0736517906, 3.1415928536, 0.0107315408, 3.1415928536, 0.0288281249, 3.1415332000
100000000, 0.4274658291, 3.1415926736, 0.1072667328, 3.1415926736, 0.2884571493, 3.1414947600
1000000000, 4.2651370510, 3.1415926556, 1.0714345392, 3.1415926556, 2.8856404073, 3.1415854360
