n, base, pi_base, p1, pi_1, p2, pi_2
10, 0.0000000800, 3.3045183262, 0.0035955244, 3.3045183262, 0.0000375762, 2.8000000000
100, 0.0000007297, 3.1604170318, 0.0000272772, 3.1604170318, 0.0000245277, 2.9200000000
1000, 0.0000072895, 3.1435554669, 0.0000276372, 3.1435554669, 0.0000253272, 3.0680000000
10000, 0.0000861210, 3.1417914776, 0.0000302769, 3.1417914776, 0.0000276274, 3.1248000000
100000, 0.0007408348, 3.1416126164, 0.0000440857, 3.1416126164, 0.0000528146, 3.1385200000
1000000, 0.0072016474, 3.1415946524, 0.0002471651, 3.1415946524, 0.0003425749, 3.1409920000
10000000, 0.0652105559, 3.1415928536, 0.0024406317, 3.1415928536, 0.0034078133, 3.1422972000
100000000, 0.4268136603, 3.1415926736, 0.0241996582, 3.1415926736, 0.0340140495, 3.1416971200
1000000000, 4.2752673877, 3.1415926556, 0.1645035451, 3.1415926556, 0.2254380960, 3.1415346400
