n, base, pi_base, p1, pi_1, p2, pi_2
10, 0.0000000800, 3.3045183262, 0.0000171564, 3.3045183262, 0.0000023897, 3.6000000000
100, 0.0000009096, 3.1604170318, 0.0000020298, 3.1604170318, 0.0000042391, 2.8800000000
1000, 0.0000096380, 3.1435554669, 0.0000144170, 3.1435554669, 0.0000273245, 3.0600000000
10000, 0.0000957600, 3.1417914776, 0.0000951503, 3.1417914776, 0.0002585459, 3.1576000000
100000, 0.0009580797, 3.1416126164, 0.0009419830, 3.1416126164, 0.0025740115, 3.1395600000
1000000, 0.0095793271, 3.1415946524, 0.0093852175, 3.1415946524, 0.0257477857, 3.1423160000
10000000, 0.0571806727, 3.1415928536, 0.0427305846, 3.1415928536, 0.1151329947, 3.1421232000
100000000, 0.4286650116, 3.1415926736, 0.4287652208, 3.1415926736, 1.1519979353, 3.1415352400
1000000000, 4.2754052189, 3.1415926556, 4.3054815998, 3.1415926556, 11.5817402696, 3.1415832360
