n, base, pi_base, p1, pi_1, p2, pi_2
10, 0.0000000902, 3.3045183262, 0.0002677907, 3.3045183262, 0.0000058285, 3.2000000000
100, 0.0000009398, 3.1604170318, 0.0000043590, 3.1604170318, 0.0000058187, 3.0800000000
1000, 0.0000095281, 3.1435554669, 0.0000063488, 3.1435554669, 0.0000112477, 3.1800000000
10000, 0.0000965885, 3.1417914776, 0.0000261742, 3.1417914776, 0.0000685649, 3.1248000000
100000, 0.0009580584, 3.1416126164, 0.0002284296, 3.1416126164, 0.0006468973, 3.1459600000
1000000, 0.0095458739, 3.1415946524, 0.0023954515, 3.1415946524, 0.0064362702, 3.1423000000
10000000, 0.0748868475, 3.1415928536, 0.0110679981, 3.1415928536, 0.0288157024, 3.1415332000
100000000, 0.4305583658, 3.1415926736, 0.1079629103, 3.1415926736, 0.2884304635, 3.1414947600
1000000000, 4.2975052103, 3.1415926556, 1.0722903901, 3.1415926556, 2.8873613009, 3.1415854360
