n, base, pi_base, p1, pi_1, p2, pi_2
10, 0.0000000898, 3.3045183262, 0.0004781414, 3.3045183262, 0.0000076886, 3.2000000000
100, 0.0000008700, 3.1604170318, 0.0000057588, 3.1604170318, 0.0000075184, 3.3200000000
1000, 0.0000089981, 3.1435554669, 0.0000072883, 3.1435554669, 0.0000096678, 3.1680000000
10000, 0.0000724353, 3.1417914776, 0.0000162069, 3.1417914776, 0.0000384619, 3.1268000000
100000, 0.0007625228, 3.1416126164, 0.0001364719, 3.1416126164, 0.0003701535, 3.1409600000
1000000, 0.0072348685, 3.1415946524, 0.0008526740, 3.1415946524, 0.0026526731, 3.1406760000
10000000, 0.0664459513, 3.1415928536, 0.0093065916, 3.1415928536, 0.0245674450, 3.1413772000
100000000, 0.4287329626, 3.1415926736, 0.0821474645, 3.1415926736, 0.1447446896, 3.1416688800
1000000000, 4.3057664930, 3.1415926556, 0.5385749074, 3.1415926556, 1.4487077246, 3.1415716280
