n, base, pi_base, p1, pi_1, p2, pi_2
10, 0.0000000800, 3.3045183262, 0.0002723815, 3.3045183262, 0.0000056196, 3.2000000000
100, 0.0000009399, 3.1604170318, 0.0000040299, 3.1604170318, 0.0000053294, 3.0800000000
1000, 0.0000095291, 3.1435554669, 0.0000065898, 3.1435554669, 0.0000111895, 3.1800000000
10000, 0.0000957735, 3.1417914776, 0.0000261982, 3.1417914776, 0.0000693055, 3.1248000000
100000, 0.0009665440, 3.1416126164, 0.0002320442, 3.1416126164, 0.0006470457, 3.1459600000
1000000, 0.0095163722, 3.1415946524, 0.0022529066, 3.1415946524, 0.0064403816, 3.1423000000
10000000, 0.0750780396, 3.1415928536, 0.0111893286, 3.1415928536, 0.0288394569, 3.1415332000
100000000, 0.4275822846, 3.1415926736, 0.1077801034, 3.1415926736, 0.2889019842, 3.1414947600
1000000000, 4.2861771590, 3.1415926556, 1.0743247003, 3.1415926556, 2.8857651551, 3.1415854360
