n, base, pi_base, p1, pi_1, p2, pi_2
10, 0.0000000698, 3.3045183262, 0.0007777414, 3.3045183262, 0.0000086792, 2.8000000000
100, 0.0000007599, 3.1604170318, 0.0000075593, 3.1604170318, 0.0000096191, 3.0800000000
1000, 0.0000077695, 3.1435554669, 0.0000073091, 3.1435554669, 0.0000099191, 3.1400000000
10000, 0.0000805027, 3.1417914776, 0.0000133588, 3.1417914776, 0.0000264177, 3.1180000000
100000, 0.0009791235, 3.1416126164, 0.0000642943, 3.1416126164, 0.0001727247, 3.1366000000
1000000, 0.0106373681, 3.1415946524, 0.0006924987, 3.1415946524, 0.0017548544, 3.1394880000
10000000, 0.0819316866, 3.1415928536, 0.0047857963, 3.1415928536, 0.0126113635, 3.1417696000
100000000, 0.4295101954, 3.1415926736, 0.0470170576, 3.1415926736, 0.0828320171, 3.1416340000
1000000000, 4.2881329507, 3.1415926556, 0.2687553768, 3.1415926556, 0.7279245069, 3.1415823720
