n, base, pi_base, p1, pi_1, p2, pi_2
10, 0.0000000898, 3.3045183262, 0.0000152071, 3.3045183262, 0.0000024493, 3.6000000000
100, 0.0000009300, 3.1604170318, 0.0000019996, 3.1604170318, 0.0000043889, 2.8800000000
1000, 0.0000095278, 3.1435554669, 0.0000142970, 3.1435554669, 0.0000272442, 3.0600000000
10000, 0.0000957500, 3.1417914776, 0.0000949702, 3.1417914776, 0.0002583165, 3.1576000000
100000, 0.0009788580, 3.1416126164, 0.0009008741, 3.1416126164, 0.0025812272, 3.1395600000
1000000, 0.0095232344, 3.1415946524, 0.0094358924, 3.1415946524, 0.0257615330, 3.1423160000
10000000, 0.0568882680, 3.1415928536, 0.0427787705, 3.1415928536, 0.1151186297, 3.1421232000
100000000, 0.4270090151, 3.1415926736, 0.4303212915, 3.1415926736, 1.1528048611, 3.1415352400
1000000000, 4.2869758082, 3.1415926556, 4.2975975057, 3.1415926556, 11.5550223732, 3.1415832360
