n, base, pi_base, p1, pi_1, p2, pi_2
10, 0.0000000800, 3.3045183262, 0.0000171982, 3.3045183262, 0.0000023798, 3.6000000000
100, 0.0000009199, 3.1604170318, 0.0000019398, 3.1604170318, 0.0000042698, 2.8800000000
1000, 0.0000095190, 3.1435554669, 0.0000145087, 3.1435554669, 0.0000272571, 3.0600000000
10000, 0.0000957602, 3.1417914776, 0.0000953398, 3.1417914776, 0.0002583730, 3.1576000000
100000, 0.0009664988, 3.1416126164, 0.0009221337, 3.1416126164, 0.0025747603, 3.1395600000
1000000, 0.0096433106, 3.1415946524, 0.0094084552, 3.1415946524, 0.0259798109, 3.1423160000
10000000, 0.0571509682, 3.1415928536, 0.0433668910, 3.1415928536, 0.1166862264, 3.1421232000
100000000, 0.4318178015, 3.1415926736, 0.4307165568, 3.1415926736, 1.1687473270, 3.1415352400
1000000000, 4.2929000515, 3.1415926556, 4.2882374893, 3.1415926556, 11.5490082926, 3.1415832360
