n, base, pi_base, p1, pi_1, p2, pi_2
10, 0.0000000902, 3.3045183262, 0.0000152386, 3.3045183262, 0.0000025798, 3.6000000000
100, 0.0000008999, 3.1604170318, 0.0000020300, 3.1604170318, 0.0000042996, 2.8800000000
1000, 0.0000095991, 3.1435554669, 0.0000141085, 3.1435554669, 0.0000272078, 3.0600000000
10000, 0.0000965913, 3.1417914776, 0.0000948612, 3.1417914776, 0.0002582967, 3.1576000000
100000, 0.0009871310, 3.1416126164, 0.0009047584, 3.1416126164, 0.0025782875, 3.1395600000
1000000, 0.0095007831, 3.1415946524, 0.0094717057, 3.1415946524, 0.0260123242, 3.1423160000
10000000, 0.0574282005, 3.1415928536, 0.0431154812, 3.1415928536, 0.1162273676, 3.1421232000
100000000, 0.4289601120, 3.1415926736, 0.4348680094, 3.1415926736, 1.1591090797, 3.1415352400
1000000000, 4.2892586211, 3.1415926556, 4.3034653095, 3.1415926556, 11.5788912373, 3.1415832360
