n, base, pi_base, p1, pi_1, p2, pi_2
10, 0.0000000902, 3.3045183262, 0.0002699685, 3.3045183262, 0.0000056287, 3.2000000000
100, 0.0000009300, 3.1604170318, 0.0000044294, 3.1604170318, 0.0000061388, 3.0800000000
1000, 0.0000095280, 3.1435554669, 0.0000062588, 3.1435554669, 0.0000114178, 3.1800000000
10000, 0.0000957617, 3.1417914776, 0.0000261350, 3.1417914776, 0.0000689571, 3.1248000000
100000, 0.0009664254, 3.1416126164, 0.0002287066, 3.1416126164, 0.0006464469, 3.1459600000
1000000, 0.0094888698, 3.1415946524, 0.0022526103, 3.1415946524, 0.0064357020, 3.1423000000
10000000, 0.0753173015, 3.1415928536, 0.0131964825, 3.1415928536, 0.0288216519, 3.1415332000
100000000, 0.4295138120, 3.1415926736, 0.1079468768, 3.1415926736, 0.2887035543, 3.1414947600
1000000000, 4.2910115144, 3.1415926556, 1.0721204816, 3.1415926556, 2.8866924063, 3.1415854360
