n, base, pi_base, p1, pi_1, p2, pi_2
10, 0.0000000902, 3.3045183262, 0.0000176868, 3.3045183262, 0.0000024293, 3.6000000000
100, 0.0000009300, 3.1604170318, 0.0000020094, 3.1604170318, 0.0000042294, 2.8800000000
1000, 0.0000095182, 3.1435554669, 0.0000141075, 3.1435554669, 0.0000272246, 3.0600000000
10000, 0.0000965816, 3.1417914776, 0.0000952618, 3.1417914776, 0.0002583209, 3.1576000000
100000, 0.0009824028, 3.1416126164, 0.0009008984, 3.1416126164, 0.0025823075, 3.1395600000
1000000, 0.0095390405, 3.1415946524, 0.0094644547, 3.1415946524, 0.0257548275, 3.1423160000
10000000, 0.0566462655, 3.1415928536, 0.0428447678, 3.1415928536, 0.1151414379, 3.1421232000
100000000, 0.4276924419, 3.1415926736, 0.4285525481, 3.1415926736, 1.1608803839, 3.1415352400
1000000000, 4.3042578561, 3.1415926556, 4.3074641143, 3.1415926556, 11.5975602414, 3.1415832360
