n, base, pi_base, p1, pi_1, p2, pi_2
10, 0.0000000902, 3.3045183262, 0.0007640922, 3.3045183262, 0.0000072387, 3.2000000000
100, 0.0000009198, 3.1604170318, 0.0000055888, 3.1604170318, 0.0000081785, 3.3200000000
1000, 0.0000095281, 3.1435554669, 0.0000068988, 3.1435554669, 0.0000093983, 3.1680000000
10000, 0.0000957627, 3.1417914776, 0.0000171071, 3.1417914776, 0.0000388330, 3.1268000000
100000, 0.0009581070, 3.1416126164, 0.0001188088, 3.1416126164, 0.0003280608, 3.1409600000
1000000, 0.0096994789, 3.1415946524, 0.0011726683, 3.1415946524, 0.0032232082, 3.1406760000
10000000, 0.0748537946, 3.1415928536, 0.0091720039, 3.1415928536, 0.0242190972, 3.1413772000
100000000, 0.4301514119, 3.1415926736, 0.0546765676, 3.1415926736, 0.1451809661, 3.1416688800
1000000000, 4.2940084836, 3.1415926556, 0.5394027654, 3.1415926556, 1.4478670331, 3.1415716280
