n, base, pi_base, p1, pi_1, p2, pi_2
10, 0.0000001000, 3.3045183262, 0.0002643663, 3.3045183262, 0.0000068686, 3.2000000000
100, 0.0000009198, 3.1604170318, 0.0000045992, 3.1604170318, 0.0000059688, 3.0800000000
1000, 0.0000094486, 3.1435554669, 0.0000063789, 3.1435554669, 0.0000110684, 3.1800000000
10000, 0.0001109216, 3.1417914776, 0.0000272857, 3.1417914776, 0.0000685784, 3.1248000000
100000, 0.0009864560, 3.1416126164, 0.0002291419, 3.1416126164, 0.0006460726, 3.1459600000
1000000, 0.0095709990, 3.1415946524, 0.0024012809, 3.1415946524, 0.0064570068, 3.1423000000
10000000, 0.0757579483, 3.1415928536, 0.0107957456, 3.1415928536, 0.0288778304, 3.1415332000
100000000, 0.4286869079, 3.1415926736, 0.1074495608, 3.1415926736, 0.2885998318, 3.1414947600
1000000000, 4.2681844642, 3.1415926556, 1.0719718473, 3.1415926556, 2.8871270500, 3.1415854360
