n, base, pi_base, p1, pi_1, p2, pi_2
10, 0.0000000800, 3.3045183262, 0.0004957024, 3.3045183262, 0.0000071892, 3.2000000000
100, 0.0000009297, 3.1604170318, 0.0000062991, 3.1604170318, 0.0000078087, 3.3200000000
1000, 0.0000108785, 3.1435554669, 0.0000073190, 3.1435554669, 0.0000110785, 3.1680000000
10000, 0.0001095450, 3.1417914776, 0.0000165777, 3.1417914776, 0.0000386245, 3.1268000000
100000, 0.0009664678, 3.1416126164, 0.0001181736, 3.1416126164, 0.0003281551, 3.1409600000
1000000, 0.0094928616, 3.1415946524, 0.0011671701, 3.1415946524, 0.0032153100, 3.1406760000
10000000, 0.0777117306, 3.1415928536, 0.0091522984, 3.1415928536, 0.0244252991, 3.1413772000
100000000, 0.4267348210, 3.1415926736, 0.0828681355, 3.1415926736, 0.1451965898, 3.1416688800
1000000000, 4.2750985320, 3.1415926556, 0.5387005365, 3.1415926556, 1.4494828695, 3.1415716280
